GE Erovnuli Liga,Telavi vs Samgurali,Over 1.5,1.30,16:00,,2025-05-29,,N/A,axhonzcd229929154,bet99_overgoals
CONMEBOL Libertadore..,Penarol vs Velez Sarsfield,Over 1.5,1.20,23:00,,2025-05-29,,N/A,jdaxbiyx243330203,bet99_overgoals
ME Cup,Mornar vs Dečić,Over 1.5,1.30,19:30,,2025-05-29,,N/A,vhukttie22239690,bet99_overgoals
GE Erovnuli Liga,Dinamo Batumi vs Kolkheti Poti,Over 1.5,1.40,18:00,,2025-05-29,,N/A,telokldx76045034,bet99_overgoals
CR Primera División,CS Herediano vs LD Alajuelense,Over 1.5,1.35,03:00,,2025-05-29,,N/A,sifoxqey289273800,bet99_overgoals
CONMEBOL Sudamerican..,Cruzeiro vs Union Santa Fe,Over 1.5,1.45,01:30,,2025-05-29,,N/A,dkxebzkc93110717,bet99_overgoals
ZA Premier Soccer Leagu..,Orlando Pirates vs Magesi,Over 1.5,1.20,18:30,1:1,2025-05-28,,N/A,wxbpszyh326673966,bet99_overgoals
CONMEBOL Libertadore..,Internacional vs Bahia,Over 1.5,1.20,23:00,0:0,2025-05-28,,N/A,ybwvpxev258222158,bet99_overgoals
EE Meistriliiga,FC Levadia Tallinn vs Vaprus,Over 1.5,1.40,17:00,2:2,2025-05-28,,N/A,aimfcrpb137398966,bet99_overgoals
BR Brasileiro U20 A,Bahia U20 vs Fluminense U20,Over 1.5,1.35,19:00,2:1,2025-05-28,,N/A,gtntshpg53807174,bet99_overgoals
BR Brasileiro U20 A,Athletico PR U20 vs América Mineiro U2..,Over 1.5,1.40,19:00,0:0,2025-05-28,,N/A,itamwelv36481524,bet99_overgoals
CZ 3. liga - CFL B,Arsenal Česká Lípa vs Mladá Boleslav II,Over 1.5,1.27,17:00,3:1,2025-05-28,,N/A,zgmwammg44502272,bet99_overgoals
