league_name,home_team,away_team,match_tip,odd,match_time,match_date,home_flag,away_flag,league_flag,source
Major League Soccer,NY City,Columbus,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/1604.png,https://media.api-sports.io/football/teams/1613.png,,tj_tips
J1 League,Hiroshima,Shimizu S-Pulse,Full-Time 1X,,,10 Aug,https://media.api-sports.io/football/teams/282.png,https://media.api-sports.io/football/teams/283.png,,tj_tips
K League 1,Daejeon,Suwon FC,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/2750.png,https://media.api-sports.io/football/teams/2756.png,,tj_tips
K League 1,Pohang Steelers,Gwangju,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/2764.png,https://media.api-sports.io/football/teams/2759.png,,tj_tips
J1 League,Kashiwa,Shonan,Full-Time 1X,,,10 Aug,https://media.api-sports.io/football/teams/281.png,https://media.api-sports.io/football/teams/284.png,,tj_tips
J1 League,Nagoya,Kyoto,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/288.png,https://media.api-sports.io/football/teams/302.png,,tj_tips
J1 League,Tokyo,Kashima,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/292.png,https://media.api-sports.io/football/teams/290.png,,tj_tips
J1 League,Gamba Osaka,Fagiano Okayama,Under 3,,,10 Aug,https://media.api-sports.io/football/teams/293.png,https://media.api-sports.io/football/teams/310.png,,tj_tips
J1 League,Machida,Vissel Kobe,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/303.png,https://media.api-sports.io/football/teams/289.png,,tj_tips
Segunda Liga,Chaves,SL Benfica B,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/223.png,https://media.api-sports.io/football/teams/229.png,,tj_tips
Eredivisie,Zwolle,Twente,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/193.png,https://media.api-sports.io/football/teams/415.png,,tj_tips
Eerste Divisie,Helmond,Roda JC,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/424.png,https://media.api-sports.io/football/teams/414.png,,tj_tips
2. Bundesliga,Hertha Berlin,Karlsruher,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/159.png,https://media.api-sports.io/football/teams/785.png,,tj_tips
2. Bundesliga,Bochum,Elversberg,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/176.png,https://media.api-sports.io/football/teams/1660.png,,tj_tips
2. Bundesliga,Kiel,Bielefeld,Over 2,,,10 Aug,https://media.api-sports.io/football/teams/191.png,https://media.api-sports.io/football/teams/188.png,,tj_tips
Jupiler Pro League,RAAL La Louviere,Charleroi,Over 1.5,,,10 Aug,,https://media.api-sports.io/football/teams/736.png,,tj_tips
Premiership,Aberdeen,Celtic,Over 2,,,10 Aug,https://media.api-sports.io/football/teams/252.png,https://media.api-sports.io/football/teams/247.png,,tj_tips
Superliga,Midtjylland,Fredericia,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/397.png,https://media.api-sports.io/football/teams/2061.png,,tj_tips
Allsvenskan,AIK,Djurgården,Full-Time 1X,,,10 Aug,https://media.api-sports.io/football/teams/377.png,https://media.api-sports.io/football/teams/364.png,,tj_tips
Allsvenskan,Degerfors IF,Häcken,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/2172.png,https://media.api-sports.io/football/teams/367.png,,tj_tips
Super League,Young Boys,Sion,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/565.png,https://media.api-sports.io/football/teams/630.png,,tj_tips
Eredivisie,Ajax,SC Telstar,Full-Time 1,,,10 Aug,https://media.api-sports.io/football/teams/194.png,https://media.api-sports.io/football/teams/427.png,,tj_tips
Eredivisie,AZ,Groningen,Over 2,,,10 Aug,https://media.api-sports.io/football/teams/201.png,https://media.api-sports.io/football/teams/202.png,,tj_tips
Segunda Liga,CS Marítimo,Lusitânia Lourosa,Under 3,,,10 Aug,https://media.api-sports.io/football/teams/214.png,https://tejtips.com/wp-content/uploads/2025/08/lusitania.png,,tj_tips
Friendlies Clubs,Chelsea,AC Milan,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/489.png,,tj_tips
Jupiler Pro League,Anderlecht,Zulte Waregem,Full-Time 1X,,,10 Aug,https://media.api-sports.io/football/teams/554.png,https://media.api-sports.io/football/teams/600.png,,tj_tips
Superliga,Silkeborg IF,Nordsjælland,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/2073.png,https://media.api-sports.io/football/teams/398.png,,tj_tips
Community Shield,Crystal Palace,Liverpool,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/52.png,https://media.api-sports.io/football/teams/40.png,,tj_tips
Segunda Liga,Leixões,Felgueiras,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/244.png,https://media.api-sports.io/football/teams/4744.png,,tj_tips
Allsvenskan,Norrköping,Hammarby,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/378.png,https://media.api-sports.io/football/teams/363.png,,tj_tips
Allsvenskan,Osters IF,Brommapojkarna,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/2174.png,https://media.api-sports.io/football/teams/371.png,,tj_tips
Super League,Lugano,Basel,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/606.png,https://media.api-sports.io/football/teams/551.png,,tj_tips
Super League,Lausanne,Zürich,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/1014.png,https://media.api-sports.io/football/teams/783.png,,tj_tips
Super League,Servette,Grasshoppers,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/2184.png,https://media.api-sports.io/football/teams/1013.png,,tj_tips
Eredivisie,Utrecht,Heracles,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/207.png,https://media.api-sports.io/football/teams/206.png,,tj_tips
Eerste Divisie,Den Haag,Willem II,Full-Time 1X,,,10 Aug,https://media.api-sports.io/football/teams/198.png,https://media.api-sports.io/football/teams/195.png,,tj_tips
Bundesliga,Austria Wien,Wolfsberger,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/601.png,https://media.api-sports.io/football/teams/1025.png,,tj_tips
Bundesliga,Sturm,Rapid,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/637.png,https://media.api-sports.io/football/teams/781.png,,tj_tips
Bundesliga,WSG Wattens,LASK,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/1398.png,https://media.api-sports.io/football/teams/1026.png,,tj_tips
Eliteserien,Haugesund,Sarpsborg,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/328.png,https://media.api-sports.io/football/teams/333.png,,tj_tips
Eliteserien,Bryne,Oslo,Over 1.5,,,10 Aug,https://media.api-sports.io/football/teams/2142.png,https://media.api-sports.io/football/teams/2143.png,,tj_tips
Premier Soccer League,Stellenbosch,Kaizer Chiefs,Full-Time 1X,,,10 Aug,https://tejtips.com/wp-content/uploads/2025/08/Stellenbosch.png,https://tejtips.com/wp-content/uploads/2025/08/Kaizer-Chiefs.png,,tj_tips
