EGY,ZED vs Smouha,Under 3.5,1.20,18:00,,2025-05-29,,N/A,yhyflvrn282531193,venasbet_u_3_5
EGY,El Gaish vs Modern Sport,Under 3.5,1.45,18:00,,2025-05-29,,N/A,asooqlqv225811555,venasbet_u_3_5
COS,Herediano vs Alajuelense,Under 3.5,1.35,03:00,,2025-05-29,,N/A,umcvdhwb246664472,venasbet_u_3_5
BRA CUP,Criciuma EC SC vs EC Vitoria BA,Under 3.5,1.35,23:00,,2025-05-29,,N/A,kfsdhlgb219868204,venasbet_u_3_5
ARG,Union de Santa Fe 2 vs Belgrano 2,Under 3.5,1.20,19:00,,2025-05-29,,N/A,govkbwpg11072304,venasbet_u_3_5
ARG,Almirante Brown vs Nueva Chicago,Under 3.5,1.20,01:10,,2025-05-29,,N/A,cvzjbfli177333851,venasbet_u_3_5
FRA,Reims vs Metz,Under 3.5,1.30,19:30,,2025-05-29,,N/A,pfjjamqw219010327,venasbet_u_3_5
EGY,Petrojet vs National Bank Egypt,Under 3.5,1.40,N/A,:,2025-05-28,,...,ledxwfvs232152848,venasbet_u_3_5
ECU,Ind. Juniors vs Vargas Torres,Under 3.5,1.20,N/A,:,2025-05-28,,...,tqekbvbs156211611,venasbet_u_3_5
BRA CUP,Bahia U20 vs Fluminense U20,Under 3.5,1.25,N/A,:,2025-05-28,,...,eknkozic8920363,venasbet_u_3_5
BR,Independencia vs Tuna Luso,Under 3.5,1.40,N/A,:,2025-05-28,,...,pijfqouo204717153,venasbet_u_3_5
BOL,Wilstermann vs Tomayapo,Under 3.5,1.35,N/A,:,2025-05-28,,...,quaebzom54952066,venasbet_u_3_5
