DEN,Hobro vs F. Amager,1X,N/A,19:00,,2023-05-11,,N/A,cmgoqsfv307450192,oddslot
UEL,AS Roma vs Bayer Leverkusen,12,N/A,20:00,,2023-05-11,,N/A,ejolmahj15265124,oddslot
UEL,Juventus vs Sevilla,1X,N/A,21:00,,2023-05-11,,N/A,oskjhifx28763435,oddslot
UAE,Khorfakkan vs Al Wasl,2X,N/A,15:15,,2023-05-11,,N/A,vuicvpul64353795,oddslot
UAE,Al Jazira vs Ittihad Kalba,1X,N/A,15:15,,2023-05-11,,N/A,fkqaobgr217597098,oddslot
MEX,Atl. San Luis vs Club America,2X,N/A,04:10,,2023-05-11,,N/A,qofhzpqz8070813,oddslot
CHI,La Serena vs Barnechea,1X,N/A,23:00,,2023-05-11,,N/A,dpcnlmid323420323,oddslot
CHI,Cobreloa vs Recoleta,1X,N/A,23:00,,2023-05-11,,N/A,dtkopzcv211053799,oddslot
CHI,U. Catolica vs Huachipato,1X,N/A,01:30,,2023-05-11,,N/A,sielbbry250282789,oddslot
BRA,Botafogo RJ vs Corinthians,1X,N/A,23:30,,2023-05-11,,N/A,rinkcqca119864560,oddslot
BRA,Palmeiras vs Gremio,1X,N/A,01:30,,2023-05-11,,N/A,vmfyzhvt193044994,oddslot
ECL Q,West Ham vs AZ Alkmaar,1X,N/A,20:00,,2023-05-11,,N/A,gxwxried28864636,oddslot
CHN,Dongguan Guanlian vs Jiangxi Beidamen,1X,N/A,N/A,1:0,2023-05-10,,Won,qymkvhkd27862887,oddslot
CHI,S. Wanderers vs San Marcos de Arica,1X,N/A,N/A,1:1,2023-05-10,,Won,dpkttzan255656430,oddslot
BOS,Slavija vs Modrica,1X,N/A,N/A,3:0,2023-05-10,,Won,qmecfwfm227536013,oddslot
COS CUP,Cambodia U22 vs Indonesia U22,12,N/A,N/A,1:2,2023-05-10,,Won,cbjwtzup149924524,oddslot
COS CUP,ASEC Mimosas vs USM Alger,1X,N/A,N/A,0:0,2023-05-10,,Won,cnrzhglm189166248,oddslot
COS CUP,Young Africans vs Marumo Gallants,1X,N/A,N/A,2:0,2023-05-10,,Won,xnvfvrfy278304550,oddslot
